prompt
👍 (Thumbs Up)
👎 (Thumbs Down)
👏 (Clapping Hands)
✊ (Raised Fist)
✌️ (Victory Hand)
🤞 (Crossed Fingers)
👌 (OK Hand)
🤏 (Pinching Hand)
👋 (Waving Hand)
💪 (Flexed Bicep)
🤔 (Thinking Face)
😢 (Crying Face)
😂 (Laughing Face)
😠 (Angry Face)
😱 (Shocked Face)
😴 (Sleeping Face)
🤢 (Sick Face)
🤯 (Mind Blown)
😍 (Heart Eyes)
😘 (Kissing Face)
😛 (Tongue Out)
🙄 (Eye Roll)
🤫 (Shushing Face)
🤐 (Zipper Mouth)
🤡 (Clown Face)
👻 (Ghost)
👽 (Alien)
🤖 (Robot)
💀 (Skull)
💩 (Poop)
🔥 (Fire)
✨ (Sparkles)
⭐ (Star)
⚡ (Lightning Bolt)
🌈 (Rainbow)
☀️ (Sun)
🌙 (Moon)
☁️ (Cloud)
❄️ (Snowflake)
🌪️ (Tornado)
🍕 (Pizza)
🍔 (Hamburger)
🌮 (Taco)
🍦 (Ice Cream)
🎂 (Birthday Cake)
☕ (Coffee)
🍺 (Beer)
🍷 (Wine Glass)
🍾 (Champagne)
❤️ (Red Heart)
💔 (Broken Heart)
💓 (Heartbeat)
💰 (Money Bag)
💸 (Flying Money)
💳 (Credit Card)
👑 (Crown)
💍 (Ring)
🎁 (Gift)
🎈 (Balloon)
🎉 (Party Popper)
🏆 (Trophy)
🏅 (Medal)
⚽ (Soccer Ball)
🏀 (Basketball)
🏈 (Football)
⚾ (Baseball)
🎾 (Tennis Ball)
🎸 (Guitar)
🎤 (Microphone)
🎧 (Headphones)
🎮 (Video Game Controller)
📷 (Camera)
🎥 (Movie Camera)
📺 (Television)
📱 (Phone)
💻 (Laptop)
💡 (Light Bulb)
🚀 (Rocket)
✈️ (Airplane)
🚗 (Car)
🚲 (Bicycle)
⛵ (Sailboat)
🌴 (Palm Tree)
🌵 (Cactus)
🍀 (Four Leaf Clover)
🍄 (Mushroom)
🐶 (Dog Face)
🐱 (Cat Face)
🐵 (Monkey Face)
🦄 (Unicorn)
