name,description
A Hot Dog,"Sausage in a bun, baseball stadium food"
A Selfie,"Photo you take of yourself with a phone"
Netflix and Chill,"Watching streaming TV that leads to something else"
The Walk of Shame,"Going home in last night's clothes"
A Food Coma,"Being sleepy after eating too much"
Dad Jokes,"Corny puns that make you groan"
Monday Morning,"The worst day to start the work week"
A Karen,"Person who demands to speak to the manager"
FOMO,"Fear of missing out on something fun"
A Hangover,"Feeling terrible after drinking too much"
A Bad Hair Day,"When your hair won't cooperate"
Mansplaining,"When a man explains something condescendingly"
A Couch Potato,"Someone who watches TV all day"
Déjà Vu,"Feeling like you've experienced something before"
Procrastination,"Putting off things you should be doing"
A Brain Freeze,"Headache from eating ice cream too fast"
Road Rage,"Getting angry at other drivers"
An Awkward Silence,"When nobody knows what to say"
A Midlife Crisis,"Buying a sports car at 50"
Ghosting,"Disappearing and not responding to messages"
A Mic Drop,"Dropping the microphone after saying something epic"
The Friend Zone,"When someone only sees you as a friend"
A Plot Twist,"Unexpected turn of events in a story"
Clickbait,"Headlines that trick you into clicking"
A Photobomb,"Ruining someone's photo by jumping in"
Adulting,"Doing responsible grown-up things like paying bills"
Binge Watching,"Watching an entire TV series in one sitting"
A Side Eye,"Judging someone by looking sideways at them"
A Wardrobe Malfunction,"When clothing fails at the worst moment"
Zoom Fatigue,"Being exhausted from too many video calls"
A Guilty Pleasure,"Something you enjoy but are embarrassed about"
Cancel Culture,"When the internet decides someone is over"
A Sugar Rush,"Hyper energy from eating too much candy"
Spam Email,"Junk messages about Nigerian princes"
An All-Nighter,"Staying up all night to finish something"
Stage Fright,"Being terrified to perform in front of people"
A Power Nap,"Short sleep to recharge your energy"
Imposter Syndrome,"Feeling like a fraud despite your success"
A Bucket List,"Things you want to do before you die"
Retail Therapy,"Shopping to make yourself feel better"
A Freudian Slip,"Accidentally saying what you really think"
Writer's Block,"When you can't think of what to write"
Elevator Music,"Boring background music you hear everywhere"
A Spoiler Alert,"Warning that plot details are coming"
A Bunnings Snag,"Sausage sizzle outside a hardware store, Aussie tradition"
A Party Pie,"Tiny meat pie you eat at Australian parties"
Fairy Bread,"White bread with butter and hundreds and thousands"
A Shoey,"Drinking beer out of your shoe, Aussie celebration"
Drop Bears,"Fake deadly koalas Aussies warn tourists about"
Vegemite on Toast,"Salty yeast spread that only Australians like"
A Servo Run,"Quick trip to the petrol station for snacks"
Wearing Thongs,"Flip-flops on your feet, not underwear"
A Goon Bag,"Cheap boxed wine, Aussie party essential"
Smashed Avo,"Avocado toast that's apparently why you can't buy a house"
A Magpie Attack,"Getting swooped by an angry bird in spring"
A Tim Tam Slam,"Using a Tim Tam as a straw for hot chocolate"
Brainrot,"When your mind is ruined by too much internet content"
Doom Scrolling,"Endlessly scrolling through bad news on your phone"
Quiet Quitting,"Doing the bare minimum at work without actually quitting"
The Ick,"Sudden feeling of disgust toward someone you liked"
Main Character Energy,"Acting like you're the star of your own movie"
Touch Grass,"Telling someone to go outside and get off the internet"
Chronically Online,"Someone who spends way too much time on the internet"
Situationship,"Romantic relationship without labels or commitment"
Beige Flag,"Odd but not necessarily bad trait in dating"
NPC Behavior,"Acting like a background character in a video game"
Unhinged,"Chaotic behavior, often in a funny way"
A Conspiracy Theory,"Believing the government is hiding something"
Murphy's Law,"Anything that can go wrong will go wrong"
The Butterfly Effect,"Small actions causing huge consequences"
A Plot Armor,"When a character can't die because they're important"
A Hot Take,"Controversial opinion meant to provoke people"
A Humble Brag,"Bragging disguised as a complaint"
A Panic Buy,"Hoarding toilet paper before a crisis"
A Revenge Body,"Getting fit after a breakup to make your ex jealous"
Sunday Scaries,"Anxiety about Monday ruining your Sunday night"
Bed Rotting,"Spending the whole day in bed doing nothing"
A Glow Up,"Major positive transformation in appearance"
Muscle Memory,"Your body remembering how to do things automatically"
A Dad Bod,"Slightly chubby physique that comes with fatherhood"
Jet Lag,"Being exhausted and confused after flying across time zones"
A Cheat Day,"Day when you ignore your diet and eat whatever you want"
A Shower Thought,"Random deep insight that comes while bathing"
A Food Baby,"Bloated belly after eating way too much"
Second-Hand Embarrassment,"Cringing at someone else's awkward moment"
A Jump Scare,"Sudden scary moment in a horror movie"
A Plot Hole,"Logical gap in a story that doesn't make sense"
The Snooze Button,"Hitting it five more times every morning"
A Backhanded Compliment,"Insult disguised as something nice"
YOLO,"You only live once, excuse for bad decisions"
An Earworm,"Song stuck in your head that won't leave"
A Staycation,"Vacation where you don't go anywhere"
A Victory Lap,"Celebrating your success for everyone to see"
The Walk of Fame,"Hollywood sidewalk with celebrity stars"
A Standing Ovation,"When the audience stands up clapping"
A Guilty Conscience,"That nagging feeling when you did something wrong"
Inside Joke,"Humor that only your friend group understands"
The Five-Second Rule,"Dropped food is still okay if picked up quickly"
Tantrum,"When a child (or adult) loses it completely"
Typo,"Accidental spelling mistake that changes everything"
Plot Device,"Convenient story element that moves things forward"
The Munchies,"Intense hunger that comes after smoking weed"
White Lie,"Small harmless lie to spare someone's feelings"
Double Take,"Looking twice because you can't believe what you saw"
Cliffhanger,"Story ending that leaves you desperate for more"
Rain Check,"Postponing plans for another time"
Reality Check,"Brutal truth that brings you back to earth"
Cold Shoulder,"Ignoring someone to show you're upset"
Wild Card,"Unpredictable person who could do anything"
A Third Wheel,"Awkward person hanging out with a couple"
Spit Take,"Spitting out your drink because something's so funny"
Slow Clap,"Sarcastic or building applause"
Trust Fall,"Falling backwards hoping someone catches you"
Frenemies,"Friend who's also kind of your enemy"
One-Hit Wonder,"Artist famous for only one song"
Wardrobe Change,"Quick costume swap, usually dramatic"
