name,description
The Beatles,"British band that invaded America, Yellow Submarine"
Game of Thrones,"Fantasy TV show where everyone dies and winter is coming"
Titanic (the movie),"Jack and Rose, 'I'm the king of the world', that door debate"
The Office,"Mockumentary about a paper company, 'That's what she said'"
Star Wars,"Space opera with lightsabers, 'May the Force be with you'"
Friends,"Six friends in NYC, 'We were on a break!'"
The Godfather,"Mafia movie, 'I'm gonna make him an offer he can't refuse'"
Queen (the band),"Rock band fronted by Freddie Mercury, We Will Rock You"
Breaking Bad,"Chemistry teacher becomes meth kingpin"
Jurassic Park,"Dinosaurs escape theme park, life finds a way"
Michael Jackson,"King of Pop, moonwalk, Thriller"
The Lion King,"Disney movie about a lion who can't wait to be king"
Stranger Things,"Kids in the 80s fight monsters from the Upside Down"
ABBA,"Swedish pop group, Mamma Mia, Dancing Queen"
The Avengers,"Marvel superhero team-up movies"
Seinfeld,"Show about nothing, four friends in New York"
Nirvana,"Grunge band, Smells Like Teen Spirit, Kurt Cobain"
The Wizard of Oz,"Dorothy follows the yellow brick road, 'There's no place like home'"
The Simpsons,"Yellow cartoon family, longest-running sitcom"
Pink Floyd,"Rock band, Dark Side of the Moon, The Wall"
Jaws,"Shark terrorizes beach town, 'You're gonna need a bigger boat'"
The Walking Dead,"Zombie apocalypse TV show"
Elvis Presley,"The King of Rock and Roll, hips that scandalized America"
Pulp Fiction,"Tarantino crime film, 'What does Marcellus Wallace look like?'"
The Rolling Stones,"Rock band with big lips logo, Mick Jagger"
The Matrix,"Red pill or blue pill, bullet time, 'There is no spoon'"
Beyoncé,"Queen Bey, Destiny's Child, Single Ladies"
Back to the Future,"Teen travels through time in a DeLorean"
Led Zeppelin,"Rock band, Stairway to Heaven"
The Shining,"Kubrick horror film, 'Here's Johnny!'"
Bob Marley,"Reggae legend, 'One Love', dreadlocks"
Forrest Gump,"Life is like a box of chocolates, ran across America"
AC/DC,"Hard rock band, Highway to Hell, Back in Black"
E.T. the Extra-Terrestrial,"Alien wants to phone home, flying bicycle scene"
Madonna,"Queen of Pop, Material Girl, Like a Virgin"
The Exorcist,"Horror movie about demon possession, spinning head"
U2,"Irish rock band, Bono, With or Without You"
Ghostbusters,"'Who you gonna call?', fighting ghosts in NYC"
Drake,"Canadian rapper, Started From the Bottom, Hotline Bling"
Squid Game,"Korean show where contestants die playing children's games"
Darth Vader,"Star Wars villain, Luke's father, heavy breather"
Harry Potter,"The boy who lived, has a lightning scar"
Shrek,"Green ogre who lives in a swamp, loves Fiona"
James Bond,"British spy, 007, shaken not stirred"
Batman,"Dark Knight of Gotham, has a butler named Alfred"
Elsa,"Frozen queen who let it go"
Homer Simpson,"Yellow cartoon dad who loves donuts and Duff beer"
Mario,"Italian plumber who saves Princess Peach"
Gollum,"Lord of the Rings creature obsessed with his precious"
SpongeBob SquarePants,"Yellow sponge who lives in a pineapple under the sea"
Sherlock Holmes,"Detective who says 'elementary, my dear Watson'"
Winnie the Pooh,"Bear who loves honey and has no pants"
The Joker,"Batman's nemesis, clown makeup, chaos agent"
Captain Jack Sparrow,"Drunk pirate who wants rum and the Black Pearl"
Cinderella,"Princess who lost her glass slipper at midnight"
Gandalf,"Wizard who shall not let you pass"
The Grinch,"Green creature who stole Christmas"
Pikachu,"Yellow electric mouse Pokémon"
Katniss Everdeen,"Hunger Games heroine, volunteers as tribute"
Yoda,"Small green Jedi master who talks backwards"
Wonder Woman,"Amazon warrior princess with a lasso of truth"
Scooby-Doo,"Mystery-solving dog who loves Scooby Snacks"
Thanos,"Purple villain who snapped half the universe away"
The Terminator,"Robot assassin from the future, 'I'll be back'"
Buzz Lightyear,"Space ranger toy, to infinity and beyond"
Hannibal Lecter,"Cannibal psychiatrist who ate a census taker"
Indiana Jones,"Archaeologist with a whip who hates snakes"
Dory,"Forgetful blue fish, just keep swimming"
The Cat in the Hat,"Troublemaking cat in a tall striped hat"
Hermione Granger,"Smartest witch at Hogwarts, it's LeviOsa"
King Kong,"Giant ape who climbed the Empire State Building"
Ron Burgundy,"Anchorman who stays classy San Diego"
Willy Wonka,"Eccentric chocolate factory owner"
The Hulk,"Green guy who smashes when angry"
Cruella de Vil,"Villain who wants to make a dalmatian coat"
Borat,"Kazakh journalist, very nice, great success"
Donkey,"Shrek's annoying best friend, wants waffles"
Simba,"Lion King who couldn't wait to be king"
Voldemort,"He who must not be named, no nose"
Groot,"Tree creature who only says 'I am Groot'"
Dorothy,"Kansas girl who followed the yellow brick road"
The Minions,"Yellow pill-shaped creatures who say 'banana'"
