name,description
Albert Einstein,"Physicist known for the theory of relativity and E=mc²"
Beyoncé,"Pop superstar, former Destiny's Child member, married to Jay-Z"
Elon Musk,"CEO of Tesla and SpaceX, bought Twitter"
Taylor Swift,"Pop country singer known for songs about her exes"
Gordon Ramsay,"British chef famous for yelling at people on Hell's Kitchen"
Oprah Winfrey,"Talk show host known for giving away cars"
Michael Jordan,"Basketball legend, 6-time NBA champion, Air Jordans"
Queen Elizabeth II,"Longest-reigning British monarch, loved corgis"
Steve Jobs,"Apple co-founder, turtleneck enthusiast"
Marilyn Monroe,"1950s Hollywood icon, sang Happy Birthday to JFK"
Bob Ross,"Painter with an afro who loved happy little trees"
Muhammad Ali,"Boxing legend who floated like a butterfly"
Freddie Mercury,"Queen frontman, iconic mustache, Bohemian Rhapsody"
Leonardo da Vinci,"Renaissance artist and inventor, painted the Mona Lisa"
Cleopatra,"Ancient Egyptian queen, had affairs with Caesar and Mark Antony"
Elvis Presley,"The King of Rock and Roll, hip shaker"
Dwayne 'The Rock' Johnson,"Wrestler turned actor, can you smell what he's cooking?"
Abraham Lincoln,"16th US President, tall guy with a top hat, freed the slaves"
Marie Curie,"Scientist who discovered radioactivity, won 2 Nobel Prizes"
David Attenborough,"British naturalist who narrates nature documentaries"
Snoop Dogg,"Rapper who loves weed and says 'fo shizzle'"
Martha Stewart,"Lifestyle guru who went to prison, friends with Snoop"
Arnold Schwarzenegger,"Terminator actor, 'I'll be back', former California governor"
Dolly Parton,"Country singer with big hair, 9 to 5, Dollywood"
Kanye West,"Rapper who interrupted Taylor Swift, now goes by Ye"
Serena Williams,"Tennis legend with 23 Grand Slam titles"
Walt Disney,"Created Mickey Mouse and the happiest place on Earth"
Pablo Picasso,"Artist who painted faces with eyes on the same side"
William Shakespeare,"Playwright who wrote Romeo and Juliet, invented words"
Mahatma Gandhi,"Led India's independence through nonviolent protest"
Britney Spears,"Pop princess, hit me baby one more time, free Britney"
Mike Tyson,"Boxer who bit off Evander Holyfield's ear"
Lady Gaga,"Pop star who wore a meat dress, poker face"
Neil Armstrong,"First person to walk on the moon"
Frida Kahlo,"Mexican artist known for self-portraits with unibrow"
Tom Hanks,"America's dad, Wilson!, ran across the country"
Adele,"British singer, Hello from the other side"
Jeff Bezos,"Bald Amazon founder who went to space"
Cardi B,"Rapper who says 'okurrr' and throws shoes"
Stephen Hawking,"Physicist in wheelchair who wrote about black holes"
Kim Kardashian,"Reality TV star famous for her curves and selfies"
Robin Williams,"Comedian who voiced the Genie, Mrs. Doubtfire"
David Bowie,"Ziggy Stardust, glam rock icon, different colored eyes"
Mark Zuckerberg,"Facebook creator, lizard person conspiracy, loves BBQ sauce"
